usuario_id|data_acesso|tempo_sessao_segundos|pagina
10|2026-08-04 08:37:08|599|/checkout
5|2026-08-04 16:35:08|333|/produtos
2|2026-08-04 03:17:08|585|/home
11|2026-08-04 21:06:08|81|/checkout
17|2026-08-04 04:56:08|191|/home
17|2026-08-04 20:19:08|220|/home
20|2026-08-04 20:44:08|270|/checkout
4|2026-08-04 03:37:08|282|/home
20|2026-08-04 20:16:08|459|/carrinho
9|2026-08-04 16:05:08|351|/produtos
9|2026-08-04 09:33:08|164|/carrinho
15|2026-08-04 12:16:08|104|/home
15|2026-08-04 01:51:08|132|/home
18|2026-08-04 15:47:08|548|/carrinho
5|2026-08-04 11:09:08|100|/produtos
12|2026-08-04 13:20:08|191|/checkout
18|2026-08-04 12:44:08|571|/home
18|2026-08-04 12:50:08|136|/produtos
9|2026-08-04 19:07:08|139|/produtos
9|2026-08-04 13:26:08|245|/carrinho
7|2026-08-03 23:36:08|300|/checkout
9|2026-08-04 21:19:08|124|/checkout
9|2026-08-04 21:33:08|33|/carrinho
5|2026-08-04 01:19:08|298|/produtos
15|2026-08-04 04:14:08|467|/home
4|2026-08-04 20:29:08|182|/home
12|2026-08-04 03:11:08|595|/produtos
14|2026-08-04 18:42:08|72|/carrinho
12|2026-08-04 21:42:08|396|/produtos
8|2026-08-04 00:18:08|135|/carrinho
