id_venda,data,produto,quantidade,preco_unitario,status
1001,2026-07-15,Teclado,2,150.0,Cancelado
1002,2026-08-01,Notebook,1,80.0,Cancelado
1003,2026-08-04,Notebook,3,800.0,Pendente
1004,2026-07-12,Mouse,4,80.0,Pendente
1005,2026-07-27,Notebook,3,3500.0,Cancelado
1006,2026-07-28,Teclado,1,150.0,Pendente
1007,2026-07-28,Teclado,2,1200.0,Aprovado
1008,2026-07-31,Cadeira,5,800.0,Aprovado
1009,2026-07-12,Teclado,3,1200.0,Aprovado
1010,2026-08-01,Notebook,2,3500.0,Aprovado
1011,2026-07-14,Mouse,4,150.0,Pendente
1012,2026-07-12,Cadeira,4,1200.0,Aprovado
1013,2026-07-07,Notebook,4,1200.0,Cancelado
1014,2026-07-18,Mouse,2,800.0,Cancelado
1015,2026-08-02,Notebook,3,800.0,Aprovado
1016,2026-07-17,Cadeira,2,150.0,Cancelado
1017,2026-07-22,Teclado,2,800.0,Aprovado
1018,2026-08-03,Cadeira,5,1200.0,Aprovado
1019,2026-08-04,Teclado,5,1200.0,Aprovado
1020,2026-08-02,Cadeira,3,3500.0,Cancelado
1021,2026-07-29,Monitor,5,1200.0,Cancelado
1022,2026-07-28,Notebook,4,150.0,Aprovado
1023,2026-07-19,Notebook,5,80.0,Aprovado
1024,2026-07-16,Monitor,4,3500.0,Aprovado
1025,2026-08-04,Teclado,3,3500.0,Aprovado
1026,2026-07-18,Notebook,2,150.0,Pendente
1027,2026-07-29,Monitor,2,150.0,Aprovado
1028,2026-07-13,Notebook,5,800.0,Cancelado
1029,2026-07-15,Mouse,4,3500.0,Aprovado
1030,2026-07-13,Teclado,1,800.0,Pendente
1031,2026-07-18,Mouse,1,1200.0,Cancelado
1032,2026-07-22,Teclado,1,3500.0,Pendente
1033,2026-07-28,Monitor,2,3500.0,Aprovado
1034,2026-07-21,Teclado,2,80.0,Cancelado
1035,2026-07-17,Teclado,4,3500.0,Aprovado
1036,2026-07-27,Monitor,5,1200.0,Cancelado
1037,2026-07-10,Teclado,1,800.0,Cancelado
1038,2026-07-08,Notebook,4,800.0,Cancelado
1039,2026-08-04,Cadeira,4,80.0,Pendente
1040,2026-07-11,Monitor,5,1200.0,Aprovado
1041,2026-07-10,Cadeira,4,800.0,Pendente
1042,2026-07-30,Monitor,5,150.0,Pendente
1043,2026-07-13,Monitor,3,1200.0,Aprovado
1044,2026-07-22,Mouse,5,1200.0,Aprovado
1045,2026-07-25,Mouse,1,80.0,Aprovado
1046,2026-07-27,Teclado,1,800.0,Cancelado
1047,2026-07-31,Cadeira,5,1200.0,Pendente
1048,2026-07-29,Monitor,3,800.0,Pendente
1049,2026-07-05,Teclado,3,150.0,Pendente
1050,2026-07-11,Notebook,1,80.0,Pendente
